2026-05-07 18:45:45 | LICENSE BLOCK CAMERA: 9
2026-05-07 18:45:45 | LICENSE BLOCK CAMERA: 10
2026-05-07 18:45:57 | LICENSE RECORD BLOCK: 4
2026-05-07 18:46:05 | LICENSE RECORD BLOCK: 5
2026-05-07 18:46:23 | LICENSE RECORD BLOCK: 9
2026-05-07 18:46:28 | LICENSE RECORD BLOCK: 10
2026-05-07 19:02:43 | LICENSE BLOCK CAMERA: 9
2026-05-07 19:02:43 | LICENSE BLOCK CAMERA: 10
2026-05-07 19:04:33 | LICENSE BLOCK CAMERA: 9
2026-05-07 19:04:33 | LICENSE BLOCK CAMERA: 10
2026-05-07 19:12:21 | LICENSE RECORD BLOCK: 2
2026-05-07 19:12:27 | LICENSE RECORD BLOCK: 3
2026-05-07 19:12:31 | LICENSE RECORD BLOCK: 4
2026-05-07 23:53:33 | LICENSE BLOCK CAMERA: 10
2026-05-07 23:53:33 | LICENSE BLOCK CAMERA: 11
2026-05-08 00:05:25 | LICENSE BLOCK CAMERA: 10
2026-05-08 00:05:25 | LICENSE BLOCK CAMERA: 11
2026-05-08 00:05:47 | LICENSE RECORD BLOCK: 11
2026-05-08 06:42:33 | LICENSE BLOCK CAMERA: 10
2026-05-08 06:42:33 | LICENSE BLOCK CAMERA: 11
2026-05-08 06:45:14 | LICENSE BLOCK CAMERA: 10
2026-05-08 06:45:14 | LICENSE BLOCK CAMERA: 11
2026-05-08 06:52:02 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:12 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:20 | LICENSE RECORD BLOCK: 1
2026-05-08 06:52:25 | LICENSE RECORD BLOCK: 1
2026-05-08 06:54:53 | LICENSE RECORD BLOCK: 1
2026-05-10 08:10:06 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:11:12 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:12:08 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:13:09 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:15:27 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:17:29 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:19:20 | LICENSE RECORD BLOCK: manual
2026-05-10 08:20:47 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:21:46 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:34:17 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:42:24 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:49:58 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 08:54:09 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:07:39 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:14:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:21:58 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:34:17 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:35:52 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:37:11 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:43:56 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 09:51:07 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 10:36:47 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 10:40:15 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 10:47:34 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 10:51:04 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 10:58:55 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 11:47:37 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 11:54:02 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 11:57:42 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:02:24 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:18:46 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:21:32 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:22:15 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:35:31 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:41:19 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:50:53 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:56:01 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:56:26 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 12:58:23 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 13:11:10 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 13:17:26 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 13:36:24 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 13:41:42 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 17:30:00 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 17:50:06 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 17:55:50 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 17:57:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:11:35 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:22:21 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:51:39 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:53:46 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:55:18 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:56:42 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:58:12 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 18:58:56 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 19:00:12 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 19:07:10 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
2026-05-10 19:09:00 | OFFLINE_OK | Còn 30 ngày cần kết nối Internet
